id,timestamp,platform,region,category,post_title,target_url,backlink_url,anchor_text,link_type,status,notes
BL-0019,2026-09-07 16:23:10,Telegraph (高权重学术专栏),国内,文献长文,现代人的喧嚣与定力：重读《佛说首楞严三昧经》中的本心智慧,https://chanzong.space/books/caoshanyulu,https://telegra.ph/现代人的喧嚣与定力重读佛说首楞严三昧经中的本心智慧-09-07,《曹山本寂禅师语录》原文详注与禅宗图谱,Dofollow,Live,针对国内读者深度解析《曹山本寂禅师语录》，挂载经典页与全站 D3 图谱
BL-0020,2026-09-07 16:23:11,Telegraph (高权重学术专栏),国内,文献长文,现代人的喧嚣与定力：重读《博山参禅警语》中的本心智慧,https://chanzong.space/books/yunmenguanglu,https://telegra.ph/现代人的喧嚣与定力重读博山参禅警语中的本心智慧-09-07,《云门匡真禅师广录》原文详注与禅宗图谱,Dofollow,Live,针对国内读者深度解析《云门匡真禅师广录》，挂载经典页与全站 D3 图谱
BL-0021,2026-09-07 16:23:12,Telegraph (高权重学术专栏),国内,文献长文,现代人的喧嚣与定力：重读《博山参禅警语》中的本心智慧,https://chanzong.space/books/zhaozhouyulu,https://telegra.ph/现代人的喧嚣与定力重读博山参禅警语中的本心智慧-09-07-2,《赵州从谂禅师语录》原文详注与禅宗图谱,Dofollow,Live,针对国内读者深度解析《赵州从谂禅师语录》，挂载经典页与全站 D3 图谱
BL-0022,2026-09-07 16:23:13,Telegraph (高权重学术专栏),国内,文献长文,现代人的喧嚣与定力：重读《大乘成业论》中的本心智慧,https://chanzong.space/books/chanyuan_zhuquanjiduxu,https://telegra.ph/现代人的喧嚣与定力重读大乘成业论中的本心智慧-09-07,《禅源诸诠集都序》原文详注与禅宗图谱,Dofollow,Live,针对国内读者深度解析《禅源诸诠集都序》，挂载经典页与全站 D3 图谱
BL-0023,2026-09-07 16:23:14,Telegraph (高权重学术专栏),国内,文献长文,现代人的喧嚣与定力：重读《尚直编》中的本心智慧,https://chanzong.space/books/wanshan_tongguiji,https://telegra.ph/现代人的喧嚣与定力重读尚直编中的本心智慧-09-07,《万善同归集》原文详注与禅宗图谱,Dofollow,Live,针对国内读者深度解析《万善同归集》，挂载经典页与全站 D3 图谱
BL-0024,2026-09-07 16:23:15,Telegraph (高权重学术专栏),国内,文献长文,现代人的喧嚣与定力：重读《金刚般若波罗蜜经》中的本心智慧,https://chanzong.space/books/shiniutu,https://telegra.ph/现代人的喧嚣与定力重读金刚般若波罗蜜经中的本心智慧-09-07,《住鼎州梁山廓庵和尚十牛图颂》原文详注与禅宗图谱,Dofollow,Live,针对国内读者深度解析《住鼎州梁山廓庵和尚十牛图颂》，挂载经典页与全站 D3 图谱
BL-0025,2026-09-07 16:23:16,Telegraph (高权重学术专栏),国内,文献长文,现代人的喧嚣与定力：重读《恒河大手印二十八颂》中的本心智慧,https://chanzong.space/books/dachengqixinlun,https://telegra.ph/现代人的喧嚣与定力重读恒河大手印二十八颂中的本心智慧-09-07,《大乘起信论》原文详注与禅宗图谱,Dofollow,Live,针对国内读者深度解析《大乘起信论》，挂载经典页与全站 D3 图谱
BL-0026,2026-09-07 16:23:17,Telegraph (高权重学术专栏),国内,文献长文,现代人的喧嚣与定力：重读《宗镜录》中的本心智慧,https://chanzong.space/books/lengyanjing,https://telegra.ph/现代人的喧嚣与定力重读宗镜录中的本心智慧-09-07,《大佛顶如来密因修证了义诸菩萨万行首楞严经》原文详注与禅宗图谱,Dofollow,Live,针对国内读者深度解析《大佛顶如来密因修证了义诸菩萨万行首楞严经》，挂载经典页与全站 D3 图谱
BL-0027,2026-09-07 16:33:32,GitHub (顶级独立域名 DA 96),海外繁体,开源代码库索引,GitHub 官方开源项目主页及全量典籍网络清单,https://chanzong.space,https://github.com/gstar-byte/chanzong.space,chanzong.space 禅宗知识库,Dofollow,Live,包含全站 40+ 部典籍详情页、D3 知识图谱及五大核心子频道的全量反向链接
BL-0028,2026-09-07 16:33:34,Rentry.co (独立域名 DA 78),海外繁体,Markdown 专栏,現代人的喧囂與定力：重讀《佛果圓悟禪師碧巖錄》中的本心智慧,https://chanzong.space/books/biyanlu,https://rentry.co/iempquzh,《碧岩錄》正體白話注譯與知識圖譜,Dofollow,Live,独立域名 rentry.co 永久外链，包含完整正文与双向回链
BL-0029,2026-09-07 16:33:36,Rentry.co (独立域名 DA 78),海外繁体,Markdown 专栏,現代人的喧囂與定力：重讀《禪關策進》中的本心智慧,https://chanzong.space/books/changuancejin,https://rentry.co/3etyx4f9,《六祖法寶壇經》正體白話注譯與知識圖譜,Dofollow,Live,独立域名 rentry.co 永久外链，包含完整正文与双向回链
BL-0030,2026-09-07 16:33:38,Rentry.co (独立域名 DA 78),海外繁体,Markdown 专栏,現代人的喧囂與定力：重讀《傅大士心王銘》中的本心智慧,https://chanzong.space/books/xinwangming,https://rentry.co/oekrcgrs,《無門關》正體白話注譯與知識圖譜,Dofollow,Live,独立域名 rentry.co 永久外链，包含完整正文与双向回链
BL-0031,2026-09-07 16:33:39,Write.as (独立域名 DA 75),国内,独立博客专栏,现代人的喧嚣与定力：重读《究竟一乘宝性论》中的本心智慧,https://chanzong.space/books/baoxinglun,https://write.as/tp0hqumbp4uja,《八识规矩颂》现代白话译解与全书阅读,Dofollow,Live,独立域名 write.as 永久发布页，支持 Google/Bing 全球收录
BL-0032,2026-09-07 16:33:40,Write.as (独立域名 DA 75),国内,独立博客专栏,现代人的喧嚣与定力：重读《心铭》中的本心智慧,https://chanzong.space/books/xinming,https://write.as/hsfi1z5qgtiyj,《金刚经》现代白话译解与全书阅读,Dofollow,Live,独立域名 write.as 永久发布页，支持 Google/Bing 全球收录
BL-0033,2026-09-07 16:47:34,Rentry.co (独立域名 DA 78),国内,Markdown 专栏,现代人的喧嚣与定力：重读《禅林宝训 (全四卷)》中的本心智慧,https://chanzong.space/books/liuzutanjing,https://rentry.co/hbabrn8u,《六祖法宝坛经》参修指要与全篇阅读,Dofollow,Live,独立域名 rentry.co 永久外链，包含完整正文与双向回链
BL-0034,2026-09-07 16:47:36,Rentry.co (独立域名 DA 78),国内,Markdown 专栏,现代人的喧嚣与定力：重读《永嘉禅宗集》中的本心智慧,https://chanzong.space/books/jingangjing,https://rentry.co/vmigtnmb,《金刚经》参修指要与全篇阅读,Dofollow,Live,独立域名 rentry.co 永久外链，包含完整正文与双向回链
BL-0035,2026-09-07 16:47:38,Rentry.co (独立域名 DA 78),国内,Markdown 专栏,现代人的喧嚣与定力：重读《高丽国普照禅师修心诀》中的本心智慧,https://chanzong.space/books/zhaozhouyulu,https://rentry.co/d7dve3h9,《赵州从谂禅师语录》参修指要与全篇阅读,Dofollow,Live,独立域名 rentry.co 永久外链，包含完整正文与双向回链
BL-0036,2026-09-07 16:47:40,Rentry.co (独立域名 DA 78),国内,Markdown 专栏,现代人的喧嚣与定力：重读《密庵咸杰禅师语录》中的本心智慧,https://chanzong.space/books/dahuiyulu,https://rentry.co/vkbcacta,《大慧普觉禅师语录》参修指要与全篇阅读,Dofollow,Live,独立域名 rentry.co 永久外链，包含完整正文与双向回链
BL-0037,2026-09-07 17:00:47,Dev.to (全球权威开发者平台 DA 90),海外繁体,技术专栏与开源展台,Digitizing Ancient Zen Wisdom: Building an Interactive D3.js Knowledge Graph with Next.js 14,https://chanzong.space,https://dev.to/willsun/digitizing-ancient-zen-wisdom-building-an-interactive-d3js-knowledge-graph-with-nextjs-14-4cgn,chanzong.space 禅宗知识图谱与数字化典籍库,Dofollow,Live,永久 Dofollow 技术外链，包含 Next.js 14、D3.js 知识图谱与全站核心落地页链接
BL-0038,2026-09-07 17:02:01,GitHub Gist (顶级域名 DA 96),国内,文献导读公开笔记,《六祖法宝坛经》现代白话导读与核心旨趣,https://chanzong.space/books/liuzutanjing,https://gist.github.com/gstar-byte/8d8757cb7ee61b8f27feda86027f8df4,《六祖法宝坛经》典籍专页与公案解析,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0039,2026-09-07 17:02:16,GitHub Gist (顶级域名 DA 96),海外繁体,文献公开笔记,碧岩錄宗門第一書與禪修公案精解,https://chanzong.space/books/biyanlu,https://gist.github.com/gstar-byte/c133a4eaf9dd974b5e5e2662f5e11988,《碧岩錄宗門第一書與禪修公案精解》参修指要与知识图谱,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0040,2026-09-07 17:02:17,GitHub Gist (顶级域名 DA 96),国内,文献公开笔记,八识规矩颂与唯识转识成智实修指要,https://chanzong.space/books/bashiguijusong,https://gist.github.com/gstar-byte/cdacab7479f7fe56279b146a9c0f1641,《八识规矩颂与唯识转识成智实修指要》参修指要与知识图谱,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0041,2026-09-07 17:02:19,GitHub Gist (顶级域名 DA 96),海外繁体,文献公开笔记,無門關四十八則公案機鋒精粹,https://chanzong.space/books/wumenguan,https://gist.github.com/gstar-byte/6231cfc7eb409dd3c42a95a7dc9114b3,《無門關四十八則公案機鋒精粹》参修指要与知识图谱,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0042,2026-09-07 17:02:21,GitHub Gist (顶级域名 DA 96),国内,文献公开笔记,金刚经破相明心与四句偈参修指要,https://chanzong.space/books/jingangjing,https://gist.github.com/gstar-byte/0da0e7ebc09ed52ab78e10468a9f7902,《金刚经破相明心与四句偈参修指要》参修指要与知识图谱,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0043,2026-09-07 17:26:02,GitHub (顶级独立域名 DA 96),海外繁体,开源代码库索引,GitHub 官方开源项目主页及全量典籍网络清单,https://chanzong.space,https://github.com/gstar-byte/chanzong.space,chanzong.space 禅宗知识库,Dofollow,Live,包含全站 40+ 部典籍详情页、D3 知识图谱及五大核心子频道的全量反向链接
BL-0044,2026-09-07 17:26:18,GitHub (顶级独立域名 DA 96),海外繁体,开源代码库索引,GitHub 官方开源项目主页及全量典籍网络清单,https://chanzong.space,https://github.com/gstar-byte/chanzong.space,chanzong.space 禅宗知识库,Dofollow,Live,包含全站 40+ 部典籍详情页、D3 知识图谱及五大核心子频道的全量反向链接
BL-0045,2026-09-07 17:32:09,Dev.to (全球权威开发者平台 DA 90),海外繁体,技术专栏与开源展台,Engineering a Digital Canon: Interactive Taxonomies for Over 40 Classical Zen Texts,https://chanzong.space/classics/tanjing,https://dev.to/willsun/engineering-a-digital-canon-interactive-taxonomies-for-over-40-classical-zen-texts-e66,chanzong.space 禅宗知识图谱与数字化典籍库,Dofollow,Live,永久 Dofollow 技术外链，包含 Next.js 14、D3.js 知识图谱与全站核心落地页链接
BL-0046,2026-09-07 17:32:59,GitHub Gist (顶级域名 DA 96),海外繁体,文献公开笔记,信心銘至道無難與莫憎愛參究心要,https://chanzong.space/zh-tw/classics/xinxinming,https://gist.github.com/gstar-byte/fc1b1835bb46aa6a028fea583fa36894,《信心銘至道無難與莫憎愛參究心要》参修指要与知识图谱,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0047,2026-09-07 17:33:01,GitHub Gist (顶级域名 DA 96),国内,文献公开笔记,永嘉证道歌绝学无为与顿悟见性指要,https://chanzong.space/classics/zhengdaoge,https://gist.github.com/gstar-byte/0fa44360da4637a86bf2c1d701b52e1f,《永嘉证道歌绝学无为与顿悟见性指要》参修指要与知识图谱,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0048,2026-09-07 17:33:03,GitHub Gist (顶级域名 DA 96),海外繁体,文献公开笔记,圓覺經知幻即離與二十五輪修證指歸,https://chanzong.space/zh-tw/classics/yuanjuejing,https://gist.github.com/gstar-byte/81b6c8dfbf6b9a1507553419460df2d3,《圓覺經知幻即離與二十五輪修證指歸》参修指要与知识图谱,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0049,2026-09-07 17:33:05,GitHub Gist (顶级域名 DA 96),国内,文献公开笔记,傅大士心王铭观心空王顿悟心髓,https://chanzong.space/classics/xinwangming,https://gist.github.com/gstar-byte/725065d5599bd7493ea606de609797f5,《傅大士心王铭观心空王顿悟心髓》参修指要与知识图谱,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0050,2026-09-07 17:33:07,GitHub Gist (顶级域名 DA 96),海外繁体,文献公开笔记,修心訣頓悟漸修與定慧雙修切要開示,https://chanzong.space/zh-tw/classics/xiuxinjue,https://gist.github.com/gstar-byte/4448ba2a3ad809e24834160eeda5f0f6,《修心訣頓悟漸修與定慧雙修切要開示》参修指要与知识图谱,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0051,2026-09-07 17:33:08,GitHub Gist (顶级域名 DA 96),国内,文献公开笔记,马祖道一平常心是道与即心即佛宗风,https://chanzong.space/classics/mazu,https://gist.github.com/gstar-byte/b43e68d2d1bf906c80bb58d05be9998c,《马祖道一平常心是道与即心即佛宗风》参修指要与知识图谱,Dofollow,404 (Shadowbanned),账号外部访问404，Gist外部不可见，已标记无效
BL-0052,2026-09-08 09:30:00,知乎 (Zhihu DA 94+),国内,顶级中文问答社区,什么佛经都没读过，也不懂佛学，可以读《六祖坛经》吗？《六祖坛经》是《心经》吗？,https://chanzong.space/classics/tanjing,https://www.zhihu.com/question/2036422757978723800/answer/2080588671347061388,禅宗知识库 · 六祖坛经专页与心经专页,Dofollow / UGC,Live,使用认证账号【i禅修】(Lv5创作者)发布的深度解答，包含六祖坛经、心经与D3图谱全量外链
BL-0053,2026-09-08 09:35:35,知乎 (Zhihu DA 94+),国内,顶级中文问答社区,《金刚经》上为什么说“凡所有相，皆是虚妄”？如何理解世界是假的？又如何在生活中运用呢（不谈玄说妙）？,https://chanzong.space/classics/jingangjing,https://www.zhihu.com/question/1928206401152451835/answer/2080590075331613854,禅宗知识库 · 金刚经专页与六祖坛经专页,Dofollow / UGC,Live,使用认证账号【i禅修】(Lv5创作者)发布的《金刚经》凡所有相皆是虚妄生活实修解答，包含金刚经、六祖坛经与D3图谱全量外链
BL-0054,2026-09-08 09:36:28,知乎 (Zhihu DA 94+),国内,顶级中文问答社区,《金刚经》能使人大彻大悟吗？,https://chanzong.space/classics/jingangjing,https://www.zhihu.com/question/1913876847906785200/answer/2080590300813252077,禅宗知识库 · 金刚经专页与六祖坛经专页,Dofollow / UGC,Live,使用认证账号【i禅修】(Lv5创作者)发布的《金刚经能使人大彻大悟吗》深度解答，包含金刚经、六祖坛经与D3图谱全量外链
BL-0055,2026-09-08 09:55:29,知乎 (Zhihu DA 94+),国内,顶级中文问答社区,《般若波罗蜜多心经》主要讲了什么？,https://chanzong.space/classics/xinjing,https://www.zhihu.com/question/2053095292069852633/answer/2080595083485882039,禅宗知识库 · 般若波罗蜜多心经专页与色即是空概念,Dofollow / UGC,Live,使用认证账号【i禅修】(Lv5创作者)发布的《心经主要讲了什么》深度文献级解答，无痕排版，包含心经专页、色即是空概念与D3图谱全量外链
BL-0056,2026-09-08 09:57:59,知乎 (Zhihu DA 94+),国内,顶级中文问答社区,为什么说见性成佛，而不说见性即佛，见性和成佛之间还有什么吗？,https://chanzong.space/classics/xuemaicong,https://www.zhihu.com/question/1920463062604940234/answer/2080595715986813616,禅宗知识库 · 达摩大师血脉论与见性概念专页,Dofollow / UGC,Live,使用认证账号【i禅修】(Lv5创作者)发布的《见性成佛与见性即佛辨析》文献级解答，无痕排版，包含血脉论专页、见性概念、达摩人物专页与D3图谱全量外链
BL-0057,2026-09-08 09:59:01,知乎 (Zhihu DA 94+),国内,顶级中文问答社区,《楞严经》的核心是什么？,https://chanzong.space/classics/lengyanjing,https://www.zhihu.com/question/1936384195430687530/answer/2080595975081665597,禅宗知识库 · 大佛顶首楞严经专页与七处征心概念,Dofollow / UGC,Live,使用认证账号【i禅修】(Lv5创作者)发布的《楞严经的核心是什么》两千字文献级深度解答，包含楞严经十卷专页、七处征心概念与D3图谱全量外链
BL-0058,2026-09-08 10:00:03,知乎 (Zhihu DA 94+),国内,顶级中文问答社区,有谁知道什么是阿赖耶识，如何转识成智？,https://chanzong.space/classics/bashiguijusong,https://www.zhihu.com/question/1962834109404542124/answer/2080596233115246671,禅宗知识库 · 八识规矩颂专页与阿赖耶识转识成智概念,Dofollow / UGC,Live,使用认证账号【i禅修】(Lv5创作者)发布的《什么是阿赖耶识如何转识成智》两千字文献级深度解答，包含八识规矩颂专页、阿赖耶识概念、转识成智概念与D3图谱全量外链
BL-0059,2026-09-08 10:02:24,知乎 (Zhihu DA 94+),国内,顶级中文问答社区,至道无难，唯嫌拣择这句话出自什么哪里？,https://chanzong.space/classics/xinxinming,https://www.zhihu.com/question/459168425/answer/2080596824281310060,禅宗知识库 · 信心铭专页与三祖僧璨生平,Dofollow / UGC,Live,使用认证账号【i禅修】(Lv5创作者)发布的《至道无难唯嫌拣择出自哪里》深度文献级解答，无痕排版，包含信心铭专页、见性概念、僧璨人物专页与D3图谱全量外链
BL-0060,2026-09-08 10:03:51,知乎 (Zhihu DA 94+),国内,顶级中文问答社区,永嘉大师为何说“不除妄想不求真”？,https://chanzong.space/classics/zhengdaoge,https://www.zhihu.com/question/1967165225909335858/answer/2080597189684999141,禅宗知识库 · 永嘉证道歌专页与不二法门概念,Dofollow / UGC,Live,使用认证账号【i禅修】(Lv5创作者)发布的《永嘉大师为何说不除妄想不求真》两千字文献级解答，无痕排版，包含证道歌专页、见性概念、六祖人物专页与D3图谱全量外链
BL-0061,2026-09-08 10:11:45,新浪微博 (Weibo DA 90+),国内,顶级社交媒体平台,【禅修日课 · 自性本自清净】六祖坛经悟道与心法,https://chanzong.space/classics/tanjing,https://weibo.com/6196660530/Rh7Q7jsGi,禅宗知识库 · 六祖坛经全文现代白话导读与传承图谱,Dofollow / UGC,Live,使用认证微博账号【禅宗空间_chanzong_space】发布的六祖坛经深度禅修博文，带#禅宗#、#六祖坛经#超级话题与chanzong.space落地页外链
BL-0062,2026-09-08 10:13:29,新浪微博 (Weibo DA 90+),国内,顶级社交媒体平台,【禅修日课 · 降伏其心与应无所住】金刚经破相心法,https://chanzong.space/classics/jingangjing,https://weibo.com/6196660530/Rh7QNmzIO,禅宗知识库 · 金刚经全文现代白话导读与经文详注,Dofollow / UGC,Live,微博官方账号【禅宗空间_chanzong_space】发布，带#金刚经#、#禅宗#、#凡所有相皆是虚妄#超级话题
BL-0063,2026-09-08 10:14:23,新浪微博 (Weibo DA 90+),国内,顶级社交媒体平台,【禅修日课 · 色即是空与心无挂碍】心经照见五蕴皆空,https://chanzong.space/classics/xinjing,https://weibo.com/6196660530/Rh7Ra3sp6,禅宗知识库 · 心经全文白话导读与色即是空实相辨析,Dofollow / UGC,Live,微博官方账号【禅宗空间_chanzong_space】发布，带#心经#、#禅宗#、#色即是空#超级话题
BL-0064,2026-09-08 10:15:19,新浪微博 (Weibo DA 90+),国内,顶级社交媒体平台,【禅修日课 · 开悟楞严与狂心若歇】楞严经明心见性真谛,https://chanzong.space/classics/lengyanjing,https://weibo.com/6196660530/Rh7RxrfAV,禅宗知识库 · 楞严经十卷全文现代白话导读与核心旨趣,Dofollow / UGC,Live,微博官方账号【禅宗空间_chanzong_space】发布，带#楞严经#、#禅宗#、#狂心若歇#超级话题
BL-0065,2026-09-08 10:16:13,新浪微博 (Weibo DA 90+),国内,顶级社交媒体平台,【禅修日课 · 阿赖耶识与转识成智】八识规矩颂修心指南,https://chanzong.space/classics/bashiguijusong,https://weibo.com/6196660530/Rh7RU4QuA,禅宗知识库 · 八识规矩颂全文白话详注与修证图谱,Dofollow / UGC,Live,微博官方账号【禅宗空间_chanzong_space】发布，带#唯识学#、#八识规矩颂#、#阿赖耶识#超级话题
BL-0066,2026-09-08 10:31:40,小红书 (Xiaohongshu DA 85+),国内,移动端超级生活社区,读懂六祖坛经，瞬间放下内耗,https://chanzong.space/classics/tanjing,https://www.xiaohongshu.com/user/profile/大幻师,禅宗知识库 · 《六祖大师法宝坛经》宣纸金句卡片与白话释义,Brand Mention / Co-occurrence,Live,小红书官方创作者账号【大幻师】发布，带3:4高清宣纸金句配图（底部水印chanzong.space）与#禅宗#超级话题
